source,target,value,naturalCourt,type
86,84,-5.968346,1301,CL
86,81,1.924596,1301,CL
86,80,2.110255,1301,CL
86,79,8.205331,1301,CL
86,78,-4.881377,1301,CL
86,85,18.818538,1301,CL
86,82,-19.676496,1301,CL
86,87,10.503194,1301,CL
84,86,-0.019275,1301,CL
84,81,-9.474524,1301,CL
84,80,23.182947,1301,CL
84,79,17.304778,1301,CL
84,78,-5.834360,1301,CL
84,85,-0.762508,1301,CL
84,82,-2.672105,1301,CL
84,87,4.804943,1301,CL
81,86,6.903841,1301,CL
81,84,-3.015526,1301,CL
81,80,-0.503080,1301,CL
81,79,5.215961,1301,CL
81,78,10.220453,1301,CL
81,85,-4.283090,1301,CL
81,82,14.517383,1301,CL
81,87,5.911021,1301,CL
80,86,5.789555,1301,CL
80,84,41.526540,1301,CL
80,81,-6.178521,1301,CL
80,79,-22.300064,1301,CL
80,78,-11.784694,1301,CL
80,85,-0.756534,1301,CL
80,82,14.408369,1301,CL
80,87,4.679212,1301,CL
79,86,9.216773,1301,CL
79,84,30.150068,1301,CL
79,81,1.992737,1301,CL
79,80,-19.668873,1301,CL
79,78,-5.899953,1301,CL
79,85,2.395881,1301,CL
79,82,2.925343,1301,CL
79,87,12.854252,1301,CL
78,86,-11.534597,1301,CL
78,84,-4.841190,1301,CL
78,81,19.705176,1301,CL
78,80,-13.022479,1301,CL
78,79,-9.386690,1301,CL
78,85,15.545382,1301,CL
78,82,-3.287892,1301,CL
78,87,18.633542,1301,CL
85,86,19.914135,1301,CL
85,84,0.736625,1301,CL
85,81,-11.255422,1301,CL
85,80,-2.370245,1301,CL
85,79,6.610533,1301,CL
85,78,18.032093,1301,CL
85,82,22.474753,1301,CL
85,87,-19.622776,1301,CL
82,86,-23.522229,1301,CL
82,84,-7.735336,1301,CL
82,81,32.794975,1301,CL
82,80,13.666531,1301,CL
82,79,-2.057247,1301,CL
82,78,-1.116730,1301,CL
82,85,22.637551,1301,CL
82,87,-12.101372,1301,CL
87,86,12.302432,1301,CL
87,84,4.903626,1301,CL
87,81,-0.761594,1301,CL
87,80,4.066125,1301,CL
87,79,15.903887,1301,CL
87,78,23.804961,1301,CL
87,85,-26.956945,1301,CL
87,82,-5.809068,1301,CL
86,84,4.948289,1301,nonCL
86,81,-2.483203,1301,nonCL
86,80,15.203882,1301,nonCL
86,79,8.025860,1301,nonCL
86,78,3.500054,1301,nonCL
86,85,10.430163,1301,nonCL
86,82,-13.289784,1301,nonCL
86,87,9.788518,1301,nonCL
84,86,8.464876,1301,nonCL
84,81,4.546687,1301,nonCL
84,80,32.727772,1301,nonCL
84,79,9.143866,1301,nonCL
84,78,-9.320473,1301,nonCL
84,85,0.931869,1301,nonCL
84,82,4.069381,1301,nonCL
84,87,4.865417,1301,nonCL
81,86,-4.328604,1301,nonCL
81,84,-0.771623,1301,nonCL
81,80,0.494357,1301,nonCL
81,79,2.060129,1301,nonCL
81,78,16.664418,1301,nonCL
81,85,15.090186,1301,nonCL
81,82,3.851485,1301,nonCL
81,87,-3.689832,1301,nonCL
80,86,16.185396,1301,nonCL
80,84,32.830031,1301,nonCL
80,81,12.419742,1301,nonCL
80,79,6.287681,1301,nonCL
80,78,5.897299,1301,nonCL
80,85,-8.087548,1301,nonCL
80,82,1.748592,1301,nonCL
80,87,11.899233,1301,nonCL
79,86,10.572502,1301,nonCL
79,84,14.118573,1301,nonCL
79,81,-0.032378,1301,nonCL
79,80,2.808837,1301,nonCL
79,78,3.108697,1301,nonCL
79,85,16.236282,1301,nonCL
79,82,-7.500915,1301,nonCL
79,87,4.792733,1301,nonCL
78,86,1.619865,1301,nonCL
78,84,-18.241146,1301,nonCL
78,81,39.733510,1301,nonCL
78,80,8.138199,1301,nonCL
78,79,-5.052101,1301,nonCL
78,85,23.693908,1301,nonCL
78,82,24.155403,1301,nonCL
78,87,-19.974532,1301,nonCL
85,86,14.471161,1301,nonCL
85,84,10.881520,1301,nonCL
85,81,24.022728,1301,nonCL
85,80,-7.087629,1301,nonCL
85,79,18.458005,1301,nonCL
85,78,13.519344,1301,nonCL
85,82,13.274037,1301,nonCL
85,87,1.295481,1301,nonCL
82,86,-16.239874,1301,nonCL
82,84,1.522046,1301,nonCL
82,81,7.212383,1301,nonCL
82,80,-11.863203,1301,nonCL
82,79,-19.340398,1301,nonCL
82,78,22.557831,1301,nonCL
82,85,19.537882,1301,nonCL
82,87,24.655241,1301,nonCL
87,86,13.166645,1301,nonCL
87,84,7.804888,1301,nonCL
87,81,-3.562233,1301,nonCL
87,80,14.786543,1301,nonCL
87,79,3.457976,1301,nonCL
87,78,-15.833526,1301,nonCL
87,85,-0.440561,1301,nonCL
87,82,20.773069,1301,nonCL
89,88,10.340768,1303,CL
89,86,6.564465,1303,CL
89,84,12.798068,1303,CL
89,81,-16.626255,1303,CL
89,80,-2.669903,1303,CL
89,79,20.775164,1303,CL
89,78,6.470027,1303,CL
89,87,18.534748,1303,CL
88,89,10.072092,1303,CL
88,86,23.425619,1303,CL
88,84,4.908047,1303,CL
88,81,12.039333,1303,CL
88,80,6.726667,1303,CL
88,79,-10.860694,1303,CL
88,78,-9.183156,1303,CL
88,87,4.145013,1303,CL
86,89,4.301423,1303,CL
86,88,25.763672,1303,CL
86,84,-6.256731,1303,CL
86,81,13.477428,1303,CL
86,80,-1.657856,1303,CL
86,79,16.808035,1303,CL
86,78,-0.181820,1303,CL
86,87,-3.532513,1303,CL
84,89,18.494767,1303,CL
84,88,0.272478,1303,CL
84,86,-7.150301,1303,CL
84,81,-8.920433,1303,CL
84,80,31.477469,1303,CL
84,79,5.986845,1303,CL
84,78,-8.148194,1303,CL
84,87,-13.383047,1303,CL
81,89,-9.282968,1303,CL
81,88,14.805706,1303,CL
81,86,14.003802,1303,CL
81,84,-6.276821,1303,CL
81,80,1.944188,1303,CL
81,79,9.566113,1303,CL
81,78,24.497649,1303,CL
81,87,15.776150,1303,CL
80,89,-17.712090,1303,CL
80,88,1.077197,1303,CL
80,86,-2.825241,1303,CL
80,84,23.206757,1303,CL
80,81,-0.407489,1303,CL
80,79,-4.441883,1303,CL
80,78,29.827675,1303,CL
80,87,-1.890430,1303,CL
79,89,14.305139,1303,CL
79,88,6.005942,1303,CL
79,86,16.300176,1303,CL
79,84,10.391335,1303,CL
79,81,-1.502533,1303,CL
79,80,-11.943072,1303,CL
79,78,-4.802537,1303,CL
79,87,16.077895,1303,CL
78,89,9.806875,1303,CL
78,88,-6.950482,1303,CL
78,86,1.204985,1303,CL
78,84,-8.315677,1303,CL
78,81,27.006826,1303,CL
78,80,30.893390,1303,CL
78,79,-8.439481,1303,CL
78,87,-7.818742,1303,CL
87,89,15.704285,1303,CL
87,88,15.486784,1303,CL
87,86,-14.684176,1303,CL
87,84,-15.515590,1303,CL
87,81,15.766349,1303,CL
87,80,-4.098690,1303,CL
87,79,17.558113,1303,CL
87,78,-11.207735,1303,CL
87,78,19.638058,1303,nonCL
87,79,21.178944,1303,nonCL
87,80,-14.798880,1303,nonCL
87,81,-3.944996,1303,nonCL
87,84,7.489140,1303,nonCL
87,86,17.301600,1303,nonCL
87,88,29.966186,1303,nonCL
87,89,20.783301,1303,nonCL
78,87,14.536826,1303,nonCL
78,79,-8.573198,1303,nonCL
78,80,2.932346,1303,nonCL
78,81,42.651627,1303,nonCL
78,84,0.220769,1303,nonCL
78,86,8.671914,1303,nonCL
78,88,11.650955,1303,nonCL
78,89,14.051142,1303,nonCL
79,87,14.528156,1303,nonCL
79,78,-17.074399,1303,nonCL
79,80,6.751015,1303,nonCL
79,81,23.245236,1303,nonCL
79,84,14.994080,1303,nonCL
79,86,21.139039,1303,nonCL
79,88,2.801214,1303,nonCL
79,89,14.661319,1303,nonCL
80,87,-10.510780,1303,nonCL
80,78,7.480697,1303,nonCL
80,79,9.542020,1303,nonCL
80,81,-1.598276,1303,nonCL
80,84,42.953939,1303,nonCL
80,86,22.861577,1303,nonCL
80,88,5.998411,1303,nonCL
80,89,17.565732,1303,nonCL
81,87,0.396387,1303,nonCL
81,78,35.535494,1303,nonCL
81,79,14.751316,1303,nonCL
81,80,0.957981,1303,nonCL
81,84,4.281768,1303,nonCL
81,86,3.901599,1303,nonCL
81,88,9.242409,1303,nonCL
81,89,8.188948,1303,nonCL
84,87,5.933156,1303,nonCL
84,78,-0.097919,1303,nonCL
84,79,8.711899,1303,nonCL
84,80,34.974209,1303,nonCL
84,81,3.818139,1303,nonCL
84,86,-4.211630,1303,nonCL
84,88,19.484831,1303,nonCL
84,89,0.982999,1303,nonCL
86,87,14.388382,1303,nonCL
86,78,3.994559,1303,nonCL
86,79,16.406806,1303,nonCL
86,80,18.869437,1303,nonCL
86,81,-6.452305,1303,nonCL
86,84,-1.432623,1303,nonCL
86,88,3.490798,1303,nonCL
86,89,16.614173,1303,nonCL
88,87,22.192100,1303,nonCL
88,78,6.709805,1303,nonCL
88,79,-3.648929,1303,nonCL
88,80,-3.139138,1303,nonCL
88,81,6.536050,1303,nonCL
88,84,23.019467,1303,nonCL
88,86,2.350644,1303,nonCL
88,89,2.429784,1303,nonCL
89,87,13.166223,1303,nonCL
89,78,8.712743,1303,nonCL
89,79,9.227007,1303,nonCL
89,80,12.607796,1303,nonCL
89,81,6.574904,1303,nonCL
89,84,-4.019386,1303,nonCL
89,86,14.516556,1303,nonCL
89,88,5.093403,1303,nonCL
78,81,36.461907,1401,CL
78,90,-3.489662,1401,CL
78,88,-3.433109,1401,CL
78,80,20.378586,1401,CL
78,86,-4.715108,1401,CL
78,79,-7.916211,1401,CL
78,89,3.954475,1401,CL
78,84,10.438618,1401,CL
81,78,37.331168,1401,CL
81,90,-1.280477,1401,CL
81,88,-1.785747,1401,CL
81,80,16.653857,1401,CL
81,86,-3.372372,1401,CL
81,79,-7.359692,1401,CL
81,89,4.030599,1401,CL
81,84,8.743951,1401,CL
90,78,-6.316366,1401,CL
90,81,-6.309331,1401,CL
90,88,51.684183,1401,CL
90,80,8.594478,1401,CL
90,86,-6.132673,1401,CL
90,79,10.125330,1401,CL
90,89,2.392096,1401,CL
90,84,7.232234,1401,CL
88,78,-3.954052,1401,CL
88,81,-4.857441,1401,CL
88,90,52.302400,1401,CL
