id,label
78,HLBlack
79,SFReed
80,FFrankfurter
81,WODouglas
82,FMurphy
84,RHJackson
85,WBRutledge
86,HHBurton
87,FMVinson
88,TCClark
89,SMinton
90,EWarren
91,JHarlan2
92,WJBrennan
93,CEWhittaker
94,PStewart
95,BRWhite
96,AJGoldberg
97,AFortas
98,TMarshall
99,WEBurger
100,HABlackmun
101,LFPowell
102,WHRehnquist
103,JPStevens
104,SDOConnor
105,AScalia
106,AMKennedy
107,DHSouter
108,CThomas
109,RBGinsburg
110,SGBreyer
111,JGRoberts
112,SAAlito
113,SSotomayor
114,EKagan
115,NMGorsuch
